t=3.51s
ASSEMBLY ID                                                    ACT         FR
amyg_base:PYRAMIDAL_CELLS:57                                0.1550     0.9999
amyg_base:PYRAMIDAL_CELLS:58                                0.1549     0.9995
amyg_base:PYRAMIDAL_CELLS:59                                0.1550     0.9998
amyg_base:PYRAMIDAL_CELLS:6                                 0.1550     1.0003
amyg_base:PYRAMIDAL_CELLS:7                                 0.1549     0.9994
amyg_base:PYRAMIDAL_CELLS:8                                 0.1552     1.0012
amyg_base:PYRAMIDAL_CELLS:9                                 0.1550     1.0000
bla:INTERNEURONS:0                                          0.9053     7.0023
bla:INTERNEURONS:1                                          0.9048     6.9987
bla:INTERNEURONS:10                                         0.9051     7.0012
bla:INTERNEURONS:11                                         0.9053     7.0022
bla:INTERNEURONS:12                                         0.9050     7.0002
bla:INTERNEURONS:13                                         0.9053     7.0020
