step,time,channel,effective_output,inst_dominance,smooth_dominance,winner,delta
108,1770762895.640285,D1,0.489792498,0.419091416,0.321466522,D2,0.122423048
108,1770762895.640285,D2,0.678908361,0.580908584,0.443889569,D2,0.122423048
109,1770762895.728620,D1,0.490041934,0.419038525,0.322767482,D2,0.122949713
109,1770762895.728620,D2,0.679401698,0.580961475,0.445717195,D2,0.122949713
110,1770762895.848546,D1,0.490311908,0.418997499,0.324050549,D2,0.123470450
110,1770762895.848546,D2,0.679890560,0.581002501,0.447520999,D2,0.123470450
111,1770762895.958717,D1,0.490559896,0.418916821,0.325315432,D2,0.123986396
111,1770762895.958717,D2,0.680459914,0.581083179,0.449301828,D2,0.123986396
112,1770762896.052317,D1,0.490883901,0.418926458,0.326563579,D2,0.124495205
112,1770762896.052317,D2,0.680882389,0.581073542,0.451058784,D2,0.124495205
113,1770762896.144643,D1,0.491285277,0.418957270,0.327795495,D2,0.124996408
113,1770762896.144643,D2,0.681352870,0.581042730,0.452791904,D2,0.124996408
114,1770762896.235915,D1,0.491636279,0.419032389,0.329011987,D2,0.125488926
114,1770762896.235915,D2,0.681629302,0.580967611,0.454500913,D2,0.125488926
115,1770762896.327673,D1,0.492052917,0.419039910,0.330212359,D2,0.125974676
115,1770762896.327673,D2,0.682185873,0.580960090,0.456187035,D2,0.125974676
116,1770762896.416439,D1,0.492321498,0.419030573,0.331396602,D2,0.126454198
116,1770762896.416439,D2,0.682584415,0.580969427,0.457850801,D2,0.126454198
117,1770762896.506608,D1,0.492691249,0.419039813,0.332565178,D2,0.126927081
117,1770762896.506608,D2,0.683071134,0.580960187,0.459492259,D2,0.126927081
118,1770762896.611282,D1,0.493013984,0.418932202,0.333716739,D2,0.127396527
118,1770762896.611282,D2,0.683820790,0.581067798,0.461113266,D2,0.127396527
119,1770762896.702579,D1,0.493277020,0.418870840,0.334852127,D2,0.127861351
119,1770762896.702579,D2,0.684358121,0.581129160,0.462713478,D2,0.127861351
120,1770762896.797221,D1,0.493479522,0.418876954,0.335972458,D2,0.128319815
120,1770762896.797221,D2,0.684621868,0.581123046,0.464292272,D2,0.128319815
121,1770762896.920349,D1,0.493708298,0.418813548,0.337077006,D2,0.128773856
121,1770762896.920349,D2,0.685117699,0.581186452,0.465850861,D2,0.128773856
122,1770762897.008703,D1,0.494007499,0.418886976,0.338167805,D2,0.129219885
122,1770762897.008703,D2,0.685326133,0.581113024,0.467387690,D2,0.129219885
123,1770762897.102605,D1,0.494208587,0.418885005,0.339244035,D2,0.129660020
123,1770762897.102605,D2,0.685610650,0.581114995,0.468904054,D2,0.129660020
124,1770762897.195690,D1,0.494354724,0.418664714,0.340302977,D2,0.130100160
124,1770762897.195690,D2,0.686434360,0.581335286,0.470403137,D2,0.130100160
125,1770762897.290685,D1,0.494685196,0.418704912,0.341348336,D2,0.130533361
125,1770762897.290685,D2,0.686779798,0.581295088,0.471881697,D2,0.130533361
126,1770762897.380020,D1,0.494945965,0.418540285,0.342377562,D2,0.130965175
126,1770762897.380020,D2,0.687606783,0.581459715,0.473342737,D2,0.130965175
