
LIVE RUNTIME
Keyboard + TCP input enabled (port 5557)
Ctrl+C to quit | type 'help' for commands
--------------------------------------------------------------------------------
[CMD] Listening on 127.0.0.1:5557

--------------------------------------------------------------------------------
t=1.00s | state=awake
ASSEMBLY ID                                                    ACT         FR
pfc:L6_PYRAMIDAL:STATE_MONITORS:0                           0.0294     0.0480
pfc:L6_PYRAMIDAL:THALAMIC_GATES:0                           0.0294     0.0815
pons:MIXED_NEURONS:0                                        0.0146     0.0114
pulvinar:RELAY_CELLS:CROSS_MODAL_ALIGNMENT_UNITS:0          0.0181     0.0048
pulvinar:RELAY_CELLS:SALIENCE_RELAY_UNITS:0                 0.0180     0.0040
pulvinar:RELAY_CELLS:VISUAL_COORDINATION_UNITS:0            0.0178     0.0062
s1:INTERNEURONS:0                                           0.0160     0.0149
s1:L2_3_PYRAMIDAL:0                                         0.0161     0.0152
s1:L2_3_PYRAMIDAL:1                                         0.0162     0.0153
s1:L4_EXCITATORY:0                                          0.0163     0.0157
s1:L4_EXCITATORY:1                                          0.0162     0.0154
s1:L5_PYRAMIDAL:0                                           0.0163     0.0156
s1:L6_PYRAMIDAL:0                                           0.0164     0.0158
stn:EXCITATORY_NEURONS:GLOBAL_INTERRUPT_UNITS:0             0.0133     0.0081
stn:EXCITATORY_NEURONS:PRECISION_TIMING_UNITS:0             0.0134     0.0084
striatum:D1_MSN:0                                           0.0233     0.0329
striatum:D2_MSN:0                                           0.0235     0.0333
subiculum:PYRAMIDAL_CELLS:0                                 0.0155     0.0136
superior_colliculus:DEEP_MOTOR:0                            0.0145     0.0113
superior_colliculus:INTERNEURONS:0                          0.0144     0.0110
superior_colliculus:SUPERFICIAL_VISUAL:0                    0.0145     0.0112
trn:GABAERGIC_NEURONS:FOCUSED_GATE_UNITS:0                  0.0152     0.0042
trn:GABAERGIC_NEURONS:GLOBAL_SUPPRESSION_UNITS:0            0.0148     0.0047
trn:GABAERGIC_NEURONS:RHYTHMIC_PACING_UNITS:0               0.0154     0.0032
v1:INTERNEURONS:0                                           0.0168     0.0168
v1:L2_3_PYRAMIDAL:0                                         0.0167     0.0168
v1:L2_3_PYRAMIDAL:1                                         0.0169     0.0171
v1:L4_EXCITATORY:0                                          0.0168     0.0170
